Number;Text;Flag
1005523;You have joined a faction at the request of your guildmaster;Original
1005524;Murderers aren't allowed here, you are banished!;Original
1005525;That is not in your house.;Original
1005526;This is already locked down.;Original
1005527;This container has locked down items in it.  Release them first.;Original
1005528;This is already locked down.;Original
1005529;Try using the 'release' command instead.;Original
1005530;Murderers aren't allowed here, you are banished!;Original
1005531;A Valentine's gift has been placed in your backpack.;Original
1005532;You have been kicked out of your guild due to factional overlap;Original
1005533;Opening browser for more information on Renaissance...;Original
1005534;* The poison seems to have no effect. *;Original
1005535;You cannot poison that! You can only poison one-handed bladed or one-handed piercing weapons.;Original
1005536;This weapon must be wiped clean before it can be poisoned.;Original
1005537;Blood mixes with poison and begins to corrode your weapon.;Original
1005538;You cannot use that.;Original
1005539;You cannot reach that.;Original
1005540;Someone else is already using this item.;Original
1005541;You don't know what is in that keg!;Original
1005542;The keg is empty!;Original
1005543;Nothing comes out except for a few bubbles.;Original
1005544;Nothing comes out except for a few bubbles.;Original
1005545;The spell will not adhere to you at this time.;Original
1005546;You currently have a reflect spell up.;Original
1005547;The spell will not adhere to you at this time.;Original
1005548;You currently have a reactive armor spell in effect.;Original
1005549;The spell will not adhere to you at this time.;Original
1005550;Your protection spell has been nullified.;Original
1005551;You currently have a protect spell up.;Original
1005552;The spell will not adhere to you at this time.;Original
1005553;You currently have a reflect spell in effect.;Original
1005554;The spell will not adhere to you at this time.;Original
1005555;The spell will not adhere to you at this time.;Original
1005556;Your reactive armor spell has been nullified.;Original
1005557;You currently have a reflect spell active.;Original
1005558;The magic armor will not take effect while wearing this armor type.;Original
1005559;This spell is already in effect.;Original
1005560;You thief!;Original
1005561;Thou'rt a criminal and cannot escape so easily...;Original
1005562;Wouldst thou flee during the heat of battle??;Original
1005563;Thou'rt a criminal and cannot escape so easily...;Original
1005564;Wouldst thou flee during the heat of battle??;Original
1005565;has sigil;Original
1005566;This rune is for another facet of the shard.;Original
1005567;Your conscience prevents you from putting the spell together properly!;Original
1005568;You cannot recall to another facet.;Original
1005569;You cannot recall to another facet.;Original
1005570;You cannot gate to another facet.;Original
1005571;You cannot place objects in the book while viewing the contents.;Original
1005572;This is not an acceptable name.;Original
1005573;This snow pile is too mushy to make a good snowball with.;Original
1005574;The snow is not ready to be packed yet.  Keep trying.;Original
1005575;You carefully pack the snow into a ball...;Original
1005576;You can't throw this at yourself.;Original
1005577;You can only throw a snowball at something that can throw one back.;Original
1005578;a pile of snow;Original
1005579;Your spirit lacks the cohesion for traveling at this time.;Original
1005580;Where would you like the effect to play?;Original
1005581;There's no room in your pack to put the item in your right hand.;Original
1005582;There's no room in your pack to put the item in your left hand.;Original
1005583;Please dismount first.;Original
1005584;Both hands must be free to steal.;Original
1005585;You cannot steal items which are equipped.;Original
1005586;You cannot steal a locked down item.;Original
1005587;You can only have one sigil at a time;Original
1005588;You must join a faction to do that;Original
1005589;You are currently quitting a faction and cannot steal the town sigil;Original
1005590;You cannot steal your own sigil;Original
1005591;Your Faction already controls this town;Original
1005592;You cannot steal this sigil until it has been purified;Original
1005593;YOU STOLE THE SIGIL!!!;Original
1005594;You do not have enough skill to steal the sigil;Original
1005595;You cannot steal items being considered for trade.;Original
1005596;You must be in the thieves guild to steal from other players.;Original
1005597;The creature blocks your attempt to steal.;Original
1005598;You can't steal from shopkeepers.;Original
1005599;I cannot find the owner. Goodbye!;Original
1005600;I can't find the house. Goodbye!;Original
1005601;There are no co-owners on this house. Goodbye!;Original
1005602;The owner of this strongbox is no longer a coowner. Goodbye!;Original
1005603;You can move again!;Original
1005604;Select the land you wish to evaluate.;Original
1005605;Housing cannot be created in this area.;Original
1005606;Tinker toys rule!;Original
1005607;Evaluation cancelled.;Original
1005608;I promise to take good care of you.;Original
1005609;I've been searching for a companion like you.;Original
1005610;Will you travel with me, noble creature?;Original
1005611;If you accompany me, we will protect one another.;Original
1005612;I can protect you from the dangers of this world.;Original
1005613;It would be mutually beneficial if we were to join forces.;Original
1005614;The animal has been distracted, and you cannot continue taming.;Original
1005615;This animal has had too many owners and is too upset for you to tame.;Original
1005616;cant teleport;Original
1005617;To set your stats, say 'set (str|dex|int) ###'.  The ### must be between 10 and 100 and you cannot exceed a total of 225 stats.;Original
1005618;To set your skills, say 'set <skill name> ###'. The ### ranges between 0 and 1000.  You will not be able to exceed 700.0 total skill points.;Original
1005619;The keywords to use for <skill name> are as follows...;Original
1005620;Welcome to this test shard.  You are able to customize your character's stats and skills at anytime to anything you wish.  To see the commands to do this just say 'help'.;Original
1005621;Something went wrong.  Could not deposit gold into your bank.;Original
1005622;A spellbook and a bag of reagents has been placed into your bank box.;Original
1005623;Various tools have been placed into your bank.;Original
1005624;Various raw materials like ingots, logs, feathers, hides, bottles, etc. have been placed into your bank.;Original
1005625;One of each level of treasure map has been placed in your bank box.;Original
1005626;5 unmarked recall runes, 5 Felucca moonstones and 5 Trammel moonstones have been placed into your bank box.;Original
1005627;Something went wrong.  Could not place spellbook and reagents into your bank box.;Original
1005628;Stats range between 10 and 125;Original
1005629;You cannot exceed the stat cap.  Try setting another stat lower first.;Original
1005630;Your stats have been adjusted.;Original
1005631;You have specified an invalid skill to set.;Original
1005632;Skill values range from 0 - 1000.;Original
1005633;Target the object whose scripts you wish to analyze.;Original
1005634;Target the object whose objvars you wish to analyze.;Original
1005635;Check with Runesabre before moving this item as it is being used for a test. x6433;Original
1005636;You cannot move this.;Original
1005637;You must empty the keg before you can convert it for liquid storage.;Original
1005638;You can only trap lockable chests.;Original
1005639;Trap is disabled until you lock the chest.;Original
1005640;Trap is disabled until you lock the chest.;Original
1005641;Trap is disabled until you lock the chest.;Original
1005642;You don't have room for that item.;Original
1005643;I have no news at this time.;Original
1005644;Enter the name for this location: ;Original
1005645;I did not find a nearby track piece;Original
1005646;Adding everything to a dyn_tracksystem.txt file;Original
1005647;Something is standing in your way.;Original
1005648;Something is standing in your way.;Original
1005649;Please Move closer;Original
1005650;Please Move Closer;Original
1005651;Opening browser for more information on Renaissance...;Original
1005652;Ahh, for a moment I thought I lost you.;Original
1005653;Hmmm.  I seem to have lost my master.;Original
1005654;This item is not for sale individually.;Original
1005655;Error: Value out of range (0 - 1000);Original
1005656;Error: Value out of range (0 - 1000);Original
1005657;Error: Value out of range (0 - 1000);Original
1005658;unrecognized skill name;Original
1005659;Error: Value out of range (0 - 500);Original
1005660;Error: Value out of range (0 - 200);Original
1005661;Error: Value out of range (0 - 150);Original
1005662;Error: Value out of range (0 - 40);Original
1005663;Error: Value out of range (0 - 1500);Original
1005664;Error: Value out of range (0 - 1000);Original
1005665;Error: Value out of range (0 - 150);Original
1005666;Only players can be sent to haven.;Original
1005667;Only true newbies can be sent to haven;Original
1005668;Only players can be forced to leave haven.;Original
1005669;Only companions can do this.;Original
1005670;Only companions can do this.;Original
1005671;Only companions can do this.;Original
1005672;Only companions can do this.;Original
1005673;Only companions can do this.;Original
1005674;You have requested to be listed in the volunteer list.;Original
1005675;You have requested not to be listed in the volunteer list.;Original
1005676;teleporting to Felucca;Original
1005677;teleporting to Trammel;Original
1005678;new;Original
1005679;couldn't create one way gate;Original
1005680;teleporting to Felucca;Original
1005681;teleporting to Trammel;Original
1005682;teleporting;Original
1005683;Error: animation number out of range (1 - 34);Original
1005684;had modified ac.;Original
1005685;did not have modified wc.;Original
1005686;had modified wc.;Original
1005687;did not have modified wc.;Original
1005688;Ivalid Volunteer Type, setting to 1.;Original
1005689;That player's information has been updated.;Original
1005690;Please try this operation later.  The Global Queue is not connected at this time.;Original
1005691;This operation is not implemented at this time.;Original
1005692;Something really bad happened!;Original
1005693;You can only assign volunteer status to players.;Original
1005694;A new watch has been placed in your backpack.;Original
1005695;A deed for a potted plant has been placed in your backpack.;Original
1005696;A pile of snow has been placed in your backpack.;Original
1005697;A fireworks wand has been placed in your backpack.;Original
1005698;A deed for blessing clothes has been placed in your backpack.;Original
1005699;A deed for a Holiday Tree has now been placed in your backpack.;Original
1005700;You will have to wait till next December to put your tree back up for display.;Original
1005701;The holiday tree can only be placed in your house.;Original
1005702;The holiday tree cannot be placed this close to a house door.;Original
1006000;You have selected:;Original
1006001;This will be assigned to this character:;Original
1006002;Are you sure you wish to select this reward for this character?  You will not be able to transfer this reward to another character on another shard.  Click 'ok' below to confirm your selection or 'cancel' to go back to the selection screen.;Original
1006003;<B>Ultima Online Rewards Program</B><BR>Thank you for being part of the Ultima Online community for a full year.  As a token of our appreciation,  you may select from the following in-game reward items listed below.  The gift items will be attributed to the character you have logged-in with on the shard you are on when you choose the item(s).  The number of rewards you are entitled to are listed below and are for your entire account.  To read more about these rewards before making a selection, feel free to visit the uo.com site at <A HREF="http://www.uo.com/rewards">http://www.uo.com/rewards</A>.;Original
1006004;<B>Ultima Online Rewards Program</B><BR>Thank you for being part of the Ultima Online community for two years.  As a token of our appreciation,  you may select from the following in-game reward items listed below.  The gift items will be attributed to the character you have logged-in with on the shard you are on when you choose the item(s).  The number of rewards you are entitled to are listed below and are for your entire account.  To read more about these rewards before making a selection, feel free to visit the uo.com site at <A HREF="http://www.uo.com/rewards">http://www.uo.com/rewards</A>.;Original
1006005;<B>Ultima Online Rewards Program</B><BR>Thank you for being part of the Ultima Online community for three years.  As a token of our appreciation,  you may select from the following in-game reward items listed below.  The gift items will be attributed to the character you have logged-in with on the shard you are on when you choose the item(s).  The number of rewards you are entitled to are listed below and are for your entire account.  To read more about these rewards before making a selection, feel free to visit the uo.com site at <A HREF="http://www.uo.com/rewards">http://www.uo.com/rewards</A>.;Original
1006006;Your current total of rewards to choose:;Original
1006007;You have already chosen:;Original
1006008;Black Dye Tub;Original
1006009;Bronze Cloak;Original
1006010;Bronze Robe;Original
1006011;Copper Cloak;Original
1006012;Copper Robe;Original
1006013;Furniture Dye Tub;Original
1006014;Agapite Cloak;Original
1006015;Agapite Robe;Original
1006016;Golden Cloak;Original
1006017;Golden Robe;Original
1006018;Bless Deed;Original
1006019;Ethereal Horse Statuette;Original
1006020;Verite Cloak;Original
1006021;Verite Robe;Original
1006022;Valorite Cloak;Original
1006023;Valorite Robe;Original
1006024;Crocodile Statuette;Original
1006025;Daemon Statuette;Original
1006026;Dragon Statuette;Original
1006027;Earth Elemental Statuette;Original
1006028;Ettin Statuette;Original
1006029;Gargoyle Statuette;Original
1006030;Gorilla Statuette;Original
1006031;Lich Statuette;Original
1006032;Lizardman Statuette;Original
1006033;Ogre Statuette;Original
1006034;Orc Statuette;Original
1006035;Ratman Statuette;Original
1006036;Skeleton Statuette;Original
1006037;Troll Statuette;Original
1006038;Cow Statuette;Original
1006039;Zombie Statuette;Original
1006040;Llama Statuette;Original
1006041;We wish you continued success in the game, and hope that you enjoy your rewards!;Original
1006042;Statuette Page;Original
1006043;Main Page;Original
1006044;OK;Original
1006045;Cancel;Original
1006046;You have reward items available.  Click 'ok' below to get the selection menu or 'cancel' to be prompted upon your next login.;Original
1006047;Special Dye Tub;Original
1006048;Banner Deed;Original
1006049;Flaming Head Deed;Original
1006050;Ethereal Ostard Statuette;Original
1006051;Ethereal Llama Statuette;Original
1006052;Leather Dye Tub;Original
1007000;Aye.;Original
1007001;Nay.;Original
1007002;Very doubtful.;Original
1007003;Mine sources say nay.;Original
1007004;Tis most certain.;Original
1007005;Aye, verily.;Original
1007006;**fizzles**;Original
1007007;Count on it not;Original
1007008;Concentrate and ask again.;Original
1007009;Beyond the slightest doubt.;Original
1007010;Unable to foresee.;Original
1007011;Eat at the Blue Boar!;Original
1007012;Why art thou asking me?;Original
1007013;The very ground shall crumble before a thing.;Original
1007014;'Twas not clear.;Original
1007015;With virtue, it shall be.;Original
1007016;**shimmers, crackles, and fades**;Original
1007017;Only a fool would ask such.;Original
1007018;If I say, 'yea', wilt thou leave?;Original
1007019;A plague on thee if thou doth ask again.;Original
1007020;Tis no surprise that I'd say aye'.;Original
1007021;Truth is tough. It will not break.;Original
1007022;Keep from me the divinity of Yes and No.;Original
1007023;Who then is going to say Nay?;Original
1007024;T'is no good arguing with the inevitable.;Original
1007025;Mondain himself could not make me say yes!;Original
1007026;Nothing left, nothing at all, nothing, nothing.;Original
1007027;Best not to tell thee.;Original
1007028;I shall be avenged!;Original
1007029;NOOooo!;Original
1007030;I... I...;Original
1007031;No, I don't want to die...;Original
1007032;Argh! I am slain!;Original
1007033;Must stay... on feet...;Original
1007034;Oooh, that doth hurt...;Original
1007035;Am I dying?;Original
1007036;Whatever shall my family do without me?;Original
1007037;I hope the guards catch thee, scum!;Original
1007038;Ooh... that doth hurt!;Original
1007039;Must I die?;Original
1007040;Curse thee!;Original
1007041;I shall be avenged...;Original
1007042;I shall haunt thee for this deed!;Original
1007043;I spit on thee!;Original
1007044;Ha! I knew that I could do it!;Original
1007045;Thou shouldst not have messed with me!;Original
1007046;Die, pathetic fool!;Original
1007047;Thou deservest to die!;Original
1007048;There, that taketh care of thee.;Original
1007049;So perish those who challenge me!;Original
1007050;Thou shouldst not have fought me.;Original
1007051;May thy soul rest in peace.;Original
1007052;May thy shade wander the wilderness forever!;Original
1007053;Have done with thee!;Original
1007054;Ha! Thou art inept!;Original
1007055;Thou didst miss, fool!;Original
1007056;Thy aim is bad...;Original
1007057;Surely thou canst do better than that blow!;Original
1007058;Thou dost hit only air!;Original
1007059;Thou art no match for me!;Original
1007060;Ouch! Thou didst scratch me!;Original
1007061;Barely a flesh wound. Canst thou not do better?;Original
1007062;Pfft, thou fightest badly.;Original
1007063;Surely thou canst hit harder than that!;Original
1007064;A bare touch... Thou dost not wield thy weapon well!;Original
1007065;Ouch! A touch indeed!;Original
1007066;'Twill take more than that to kill me!;Original
1007067;Ow, thou didst get past my defenses!;Original
1007068;Away with thee, scum!;Original
1007069;Oof! That didst hurt!;Original
1007070;Aaah! I do bleed badly...;Original
1007071;A good blow on thy part... but not enough!;Original
1007072;You dig some iron ore and put it in your backpack.;Original
1007073;You dig some dull copper ore and put it in your backpack.;Original
1007074;You dig some shadow iron ore and put it in your backpack.;Original
1007075;You dig some copper ore and put it in your backpack.;Original
1007076;You dig some bronze ore and put it in your backpack.;Original
1007077;You dig some golden ore and put it in your backpack.;Original
1007078;You dig some agapite ore and put it in your backpack.;Original
1007079;You dig some verite ore and put it in your backpack.;Original
1007080;You dig some valorite ore and put it in your backpack.;Original
1007081;Mine enemy is near!;Original
1007082;The evil ones approach!;Original
1007083;Attack! Attack!;Original
1007084;Beware, the enemy!;Original
1007085;Quickly, must kill...;Original
1007086;Away from our territory!;Original
1007087;Thou dast come here?;Original
1007088;The treaty is broken!;Original
1007089;And so the war goeth on...;Original
1007090;Ahhh... an evil one...;Original
1007091; Foul spiders!;Original
1007092; Evil clicking things...;Original
1007093; I hate bugs...;Original
1007094; Green monsters!;Original
1007095; Kill the many-legs!;Original
1007096; Nasty snakes!;Original
1007097; Evil slithering things!;Original
1007098; Legless ones!;Original
1007099; Slimy fang faces!;Original
1007100; Drone killers!;Original
1007101;Hail and well met!;Original
1007102;Greetings, fellow guard.;Original
1007103;In the name of our liege, greetings!;Original
1007104;Greetings, my friend.;Original
1007105;Hail, my friend.;Original
1007106;Yes, thou'rt a virtue guard.;Original
1007107;Hmm? Yes, I am one. So art thou.;Original
1007108;Yes, as thou knowest, it is a great thing to be one!;Original
1007109;Isn't it wonderful being a virtue guard?;Original
1007110;Why dost thou ask about virtue guards when thou art one?;Original
1007111;Stay away, lest our rivalry develop into something worse!;Original
1007112;Thou'rt not of my brotherhood! Away with thee!;Original
1007113;Whilst I grant respect to thy lord, I mislike thy emblem.;Original
1007114;Art thou here to harass me?;Original
1007115;Tch tch... thou wearest the wrong emblem!;Original
1007116;'Tis a pity that thou art in the wrong camp!;Original
1007117;There is a rivalry between thy group and mine--be careful.;Original
1007118;Is not thy emblem a sign that thou art a member of our rival guards?;Original
1007119;Thou art not worthy of being a member of our fraternity.;Original
1007120;The guards will not accept thee until thy reputation improves.;Original
1007121;Thou hast not the unblemished record we expect from our members.;Original
1007122;Thy record is not good enough to join the guards.;Original
1007123;Only those of utmost probity are accepted into the guards.;Original
1007124;Only the very best of citizens may join the guards.;Original
1007125;Thou dost not qualify for the virtue guards; thy record is not good enough.;Original
1007126; Thou'rt extremely close, however.;Original
1007127; Do not dishonor us by asking again, scum.;Original
1007128;Thou hast the look of a likely candidate for joining Lord Blackthorn's guards.;Original
1007129;Wouldst thou be interested in joining Blackthorn's guard?;Original
1007130;Blackthorn's guard hath been looking for folk like thee.;Original
1007131;Thou'rt a good and honest person. Care to join Lord Blackthorn's guard?;Original
1007132;If thou art interested in joining Lord Blackthorn's guard, a place can be found for thee.;Original
1007133;Say 'yea' if thou art interested.;Original
1007134;Thou hast the look of a likely candidate for joining Lord British's guards.;Original
1007135;Wouldst thou be interested in joining British's guard?;Original
1007136;British's guard hath been looking for folk like thee.;Original
1007137;Thou'rt a good and honest person. Care to join Lord British's guard?;Original
1007138;If thou art interested in joining Lord British's guard, a place can be found for thee.;Original
1007139;I see you are in need of our shield, Here you go.;Original
1007140;Sign up with a guild of chaos if thou art interested.;Original
1007141;Sign up with a guild of order if thou art interested.;Original
1007142;Excellent! Welcome to our ranks!;Original
1007143;Welcome to our ranks!;Original
1007144;Excellent!;Original
1007145;'Tis a good choice.;Original
1007146;Congratulations!;Original
1007147;I congratulate thee!;Original
1007148;Thy shield is in thy backpack. Be sure thou dost not lose thy reputation, or else thou shalt lose thy life with it.;Original
1007149;Ho ho ho!;Original
1007150;Happy Holidays!;Original
1007151;A merry season to thee!;Original
1007152;Enjoy the holidays!;Original
1007153;Ho ho ho! Happy holidays!;Original
1007154;May the holidays be joyful!;Original
1007155;Enjoy the season!;Original
1007156;I wish thee the joy of the season!;Original
1007157;I wish thee joy! Ho ho ho!;Original
1007158;Naughty or nice? Hmm.;Original
1007159;Where IS Rudolph? He's never this late.;Original
1007160;Dancer, Prancer, don't wander off.;Original
1007161;If I only had a sleigh...;Original
1007162;I think I'm going to cause a worldwide shortage of coal this year.;Original
1007163;British? Coal or a fruitcake? Hmm.;Original
1007164;Hmm, coal, or a fruitcake for Blackthorn?;Original
1007165;Hmm, I seem to have lost some weight.;Original
1007166;'Tis a noble gift.;Original
1007167;Money is always welcome.;Original
1007168;Fish feet and bird lips! We've sprung a leak! Start bailin'!;Original
1007169;Ar! So this be how it ends, eh? Blasted land lubbers leavin' me to drown!;Original
1007170;None there are to save this ship.;Original
1007171;Bloody bucket ne'er had a name.;Original
1007172;I be comin' home 'Lizabeth! This is the big one!;Original
1008000;For the deed I have placed gold in your bankbox : ;Original
1008001;I will pay you gold for this deed : ;Original
1008002;Here have some coins : ;Original
1008003;Thou'rt wanted!;Original
1008004;Flee now before I behead thee, scum!;Original
1008005;How nice of thee to come to meet my blade.;Original
1008006;Stand back, everyone, a dastardly criminal approaches.;Original
1008007;Now, I shall kill thee.;Original
1008008;A warrant is outstanding for thy execution.;Original
1008009;Thou hast made a fatal mistake by showing thy filthy face.;Original
1008010;'Twill be a pleasure to dispatch a scoundrel such as thee.;Original
1008011;Beware, all, whilst I dispose of this evildoer.;Original
1008012;'Tis a shame that thou canst not reform, for now I shall have to kill thee.;Original
1008013;Thy sort is not welcome here. Thou hadst best run now.;Original
1008014;Get out of our city, scum!;Original
1008015;Don't do anything foolish.;Original
1008016;We'll be keeping an eye on thee.;Original
1008017;I know thy type. Break not the laws, or else suffer punishment!;Original
1008018;Thou hast a suspicious look about thee.;Original
1008019;I trust thee not, nor should anyone. Thou art a ruffian.;Original
1008020;Faugh, another scoundrel to keep an eye on!;Original
1008021;I have heard of thee--keep thee to the straight and narrow whilest here!;Original
1008022;If I catch thee breaking laws, thy neck will be on the line.;Original
1008023;Thou hast an unsavory reputation--best that thou dost not prove that thou earnst it.;Original
1008024;Thou art known as a criminal. Do not draw the attention of the guards with thy deeds, or risk death!;Original
1008025;Mine eye is on thee, scoundrel. Break not the law.;Original
1008026;Thou art a scofflaw, but while here thou SHALT obey the laws, or suffer.;Original
1008027;Look thee who crawled out from under a rock! Well, thou shalt not do anything illegal whilst I am watching thee!;Original
1008028;The guards well know thee and thy nefarious ways! be sure to behave thyself!;Original
1008029;Scum! Stay not overlong here, for thou art not welcome!;Original
1008030;I hope that thou art merely visiting, for we mislike knaves mingling with our citizens.;Original
1008031;Thou shouldst leave this city before any decide to lynch thee.;Original
1008032;I should arrest thee now, before thou dost something terrible. Thou art well known as a rogue of the worst kind.;Original
1008033;Thy foes ye meet, no doubt ye should harm.;Original
1008034;Thy traps ye find, ye shall defeat.;Original
1008035;The treasures within, should become part of thee.;Original
1008036;Thou hast thy bravery at least.;Original
1008037;Your reputation doth proceed thee.;Original
1008038;I know not of you, your fate is shrouded in mystery.;Original
1008039;Foul beasts within, whom ye may find good company.;Original
1008040;The shimmering clouds have revealed a dark destiny, one wrought with peril.;Original
1008041;The cloudy mist of the all-seeing eye have revealed a path filled with still waters.;Original
1008042;The clouds of time reveal the ghosts of the past, still priesting over their congregation.;Original
1008043;Ye shant not fail, have you the eye of an eagle, the strength of an ox and the nimbleness of a wolverine.;Original
1008044;The clouds have reveal a philosopher, a priest and three thousand leagues of skeletons marching row by row.;Original
1008045;The halls of fate, the halls of doom, in wells of thought, one might find room.;Original
1008046;Ghastly shadows on forlorn walls, echo the death of foes and falls.;Original
1008047;Beware ye who pass this way, for darkness works in mysterious ways.;Original
1008048;On bended knee they came and slew, ten thousand souls for the freedom of Yew.;Original
1008049;Brave hearts dive in and yet not return, their fate swallowed by the fires that burn.;Original
1008050;Once a treasure was laid at the bottom of the tomb, in darkness and light, its wealth did bloom.;Original
1008051;Cast not one eye to the flames' disguise, for marching in order are invisible eyes.;Original
1008052;There is a fee in gold coins for joining the guild : ;Original
1008053;Welcome to the guild! Stay to the shadows, friend.;Original
1008054;Welcome to the guild! Thou shalt find that fellow members shall grant thee lower prices in shops.;Original
1008055;I am the guildmaster of The Default Guild of Super heroic Non-Player Characters.;Original
1008056;I am the guildmaster of The Guild of Arcane Arts.;Original
1008057;I am the guildmaster of The Warrior's Guild.;Original
1008058;I am the guildmaster of The Society of Thieves.;Original
1008059;I am the guildmaster of the League of Rangers.;Original
1008060;I am the guildmaster of The Healer's Guild.;Original
1008061;I am the guildmaster of The Mining Cooperative.;Original
1008062;I am the guildmaster of The Merchant's Association.;Original
1008063;I am the guildmaster of The Order of Engineers.;Original
1008064;I am the guildmaster of The Society of Clothiers.;Original
1008065;I am the guildmaster of The Maritime Guild.;Original
1008066;I am the guildmaster of The Bardic Collegium.;Original
1008067;I am the guildmaster of The Fellowship of Blacksmiths.;Original
1008068;Art thou interested in joining?;Original
1008069;Total doors found in this building : ;Original
1008070;I have thy pet, let me fetch it.;Original
1008071;I am sorry to inform thee that... well... it died.;Original
1008072;You have been cured of all poisons.;Original
1008073;The attempt to cure you has failed.;Original
1008074; : This item is in your backpack.;Original
1008075; : This item is at your feet.;Original
1008076;*creates an item* : ;Original
1008077;Thank you for paging. Queue status : ;Original
1008078; : Attempting to heal you.;Original
1008079;Your guild name has changed : ;Original
1008080;Your guild abbreviation has changed : ;Original
1008081;You have been given a new guild title : ;Original
1008082;You have been dismissed from your guild : ;Original
1008083;Guild Message : ;Original
1008084;You can reference our website at http://www.uo.com/ or contact us at support@uo.com. To cancel your page, please select the help button again and select cancel.;Original
1008085;You play your music and your target becomes angered.  Whom do you wish them to attack?;Original
1008086;*rummages through a corpse and takes an item*;Original
1008087; : rejoined the party.;Original
1008088;You cannot have players from opposing factions in the same party!;Original
1008089; : You are invited to join the party. Type /accept to join or /decline to decline the offer.;Original
1008090;You have invited them to join the party.;Original
1008091; : Does not wish to join the party.;Original
1008092;You notify them that you do not wish to join the party.;Original
1008093;The party cannot have members from opposing factions.;Original
1008094; : joined the party.;Original
1008095;You may only have 10 in your party (this includes candidates).;Original
1008096;You have poisoned your target : ;Original
1008097; : poisoned you!;Original
1008098;I dropped some equipment while changing form.;Original
1008099; : You have been given 5 empty potion bottles.;Original
1008100; : You have been given a fine new bow.;Original
1008101; : You have been given some ingots.;Original
1008102; : You have been given some wooden boards.;Original
1008103; : You have been given a pitcher of water.;Original
1008104; : You have been given a sturdy spear.;Original
1008105; : You have been given some clean bandages.;Original
1008106; : You have been given 3 blank scrolls.;Original
1008107; : You have been given a powerful mace.;Original
1008108; : You have been given a bronze shield.;Original
1008109; : You have been given a fine new broadsword.;Original
1008110;You have been given some boards and ingots.;Original
1008111; : The intense cold is damaging you!;Original
1008112; : The intense heat is damaging you!;Original
1008113;You have been granted faction silver for removing the enemy trap :;Original
1008114;You have lost some resources;Original
1008115;Weight in stones : ;Original
1008116;You cut this material into cloth, and place it in your backpack.;Original
1008117;You cut the material into bandages and place them in your backpack.;Original
1008118;You cut the clothing item into some cloth and put it in your backpack.;Original
1008119;You cut the armor into leather strips and place them in your backpack.;Original
1008120;You cut this into bandage, and you place it in your backpack.;Original
1008121;That material belongs to someone else.;Original
1008122;Your backpack is too full to put the material into.;Original
1008123;You cut the material and place it into your backpack.;Original
1008124;You pull out an item : ;Original
1008125;You pull out an item along with a monster : ;Original
1008126;Your account is not old enough to use this item. Months until you can use this item : ;Original
1008127;*The staff quickly freezes and thaws!*;Original
1008128;*shudders from extreme cold!*;Original
1008129;You destroyed the item : ;Original
1008130;Unlocked : ;Original
1008131;This key is now described as : ;Original
1008132;This keyring has more than 20 keys. Please remove all excess keys before using again.;Original
1008133;Warnings before excess keys are deleted : ;Original
1008134;some keys were destroyed!;Original
1008135;you must release that item first!;Original
1008136;Locked : ;Original
1008137;Unlocked : ;Original
1008138;This keyring is full.;Original
1008139;You may not use this except to remove keys.;Original
1008140;You do not have a key for that.;Original
1008141;Based on your previous kills, your murder count conversion number is : ;Original
1008142;The maximum number of secure items has been reached : ;Original
1008143;House secure container count : ;Original
1008144;Number of secures left : ;Original
1008145;This item cannot be locked down. Your house currently has the maximum number of locked down item(s). You will need to free up additional lockdown slots.;Original
1008146;a new moon;Original
1008147;a waxing crescent moon;Original
1008148;in the first quarter;Original
1008149;waxing gibbous;Original
1008150;a full moon;Original
1008151;waning gibbous;Original
1008152;in its last quarter;Original
1008153;a waning crescent;Original
1008154;big and round, a satellite, and made of cheese;Original
1008155;You peer into the heavens, seeking the moons...;Original
1008156;Tasted ingredients : ;Original
1008157;Identified : ;Original
1008158;some damage has been healed : ;Original
1008159;Greetings, I will be working for you.;Original
1008160;You begin grinding this component in the mortar.;Original
1008161;This looks like it is being guarded : ;Original
1009000;You have been detected using an unauthorized;Original
1009001;third party program.  Use of this type of ;Original
1009002;program is specifically prohibited by the;Original
1009003;Ultima Online Rules Of Conduct found at:;Original
1009004;Specifically: You will not attempt to ;Original
1009005;interfere with, hack into or decipher;Original
1009006;any transmission to or from the servers running;Original
1009007;the Ultima Online Service.  This action has been;Original
1009008;logged and noted on your account records.;Original
1009009;Any repeated use of this unauthorized third party;Original
1009010;program will result in action being taken against;Original
1009011;your account including suspension or termination.;Original
1009012;Please do not use unauthorized third party;Original
1009013;programs with Ultima Online. ;Original
1009014;This use may result in action being taken;Original
1009015;against your account, including suspension or;Original
1009016;termination.  Any repeated use of this unauthorized;Original
1009017;third party program will result in a suspension;Original
1009018;or termination of your account.;Original
1010000;You cannot use locked-down resources!;Original
1010001;The bolt of cloth has just been started.;Original
1010002;The bolt of cloth needs quite a bit more.;Original
1010003;The bolt of cloth needs a little more.;Original
1010004;The bolt of cloth is almost finished.;Original
1010005;Thou hast withdrawn gold from thy account.;Original
1010006;We cannot create checks for such a paltry amount of gold!;Original
1010007;Our policies prevent us from creating checks worth that much!;Original
1010008;You didn't have enough room in either your bank box, or your backpack.;Original
1010009;I only accept gold coins, and checks.;Original
1010010;I am not in need of a new house, mine is quite luxurious.;Original
1010011;I only accept gold coins, and checks.;Original
1010012;Here have a gold coin;Original
1010013;Here have a gold coin;Original
